Export Country,Transaction Count
Indonesia,6443
Italy,4996
United States of America,4015
France,3442
Germany,2288
Singapore,1437
Australia,1394
Netherlands,1305
Switzerland,1289
South Africa,1225
United Kingdom,1108
Canada,1103
Spain,1073
Belgium,1008
United Arab Emirates,947
China,906
"Hong Kong, SAR China",798
Japan,757
Madagascar,694
Namibia,567
Zimbabwe,526
Fiji,509
Malaysia,503
Czech Republic,442
Mexico,388
Thailand,351
Monaco,347
Austria,328
Peru,324
Guyana,322
Kuwait,282
Tonga,279
Denmark,276
Philippines,257
Korea (South),256
Argentina,240
Russian Federation,231
Turkey,222
"Taiwan, Republic of China",194
Viet Nam,186
Qatar,172
Portugal,170
"Tanzania, United Republic of",146
Brazil,140
Zambia,127
Kenya,125
Greenland,122
Suriname,119
Oman,113
"Congo, (Kinshasa)",110
Uzbekistan,109
Norway,108
Colombia,105
Sweden,103
New Zealand,102
Ukraine,97
Costa Rica,97
Solomon Islands,94
Greece,92
Cuba,91
Uruguay,86
Luxembourg,82
Nicaragua,82
Mozambique,79
Jersey,78
Kazakhstan,78
India,72
Marshall Islands,69
El Salvador,67
Uganda,66
Palau,65
Dominican Republic,65
Jamaica,63
Poland,63
Togo,63
Ethiopia,62
Ghana,62
"Micronesia, Federated States of",61
Mali,60
Bahamas,57
"Macao, SAR China",53
Panama,52
Ecuador,52
Hungary,52
Belarus,51
Bahrain,51
Armenia,50
Mongolia,50
Latvia,48
Barbados,47
Chile,46
Mauritius,46
Slovenia,45
Cambodia,45
Finland,45
Saudi Arabia,45
Cameroon,44
Côte d'Ivoire,44
Serbia,42
Morocco,42
Estonia,42
Lebanon,40
Israel,39
Sudan,37
Malta,37
Seychelles,37
Pakistan,37
Bermuda,35
Slovakia,35
Romania,34
Bolivia,34
Ireland,32
Bulgaria,31
Cook Islands,30
Senegal,29
"Macedonia, Republic of",29
Kyrgyzstan,26
Belize,25
Papua New Guinea,24
Benin,24
Lithuania,24
Rwanda,23
Sri Lanka,23
Haiti,23
San Marino,22
Georgia,22
Venezuela (Bolivarian Republic),22
Congo (Brazzaville),20
Paraguay,20
Cayman Islands,19
Nigeria,19
Nepal,18
Guatemala,18
Malawi,18
Lao PDR,18
Iceland,18
"Iran, Islamic Republic of",18
Tunisia,18
Guernsey,18
Croatia,17
Saint Kitts and Nevis,17
New Caledonia,16
British Virgin Islands,16
Trinidad and Tobago,15
Tajikistan,15
Myanmar,15
Jordan,14
Turks and Caicos Islands,13
Honduras,12
Equatorial Guinea,11
Liberia,11
Antigua and Barbuda,11
Angola,11
Central African Republic,11
Gabon,11
British Indian Ocean Territory,10
Moldova,10
Syrian Arab Republic (Syria),10
Falkland Islands (Malvinas),9
French Polynesia,8
Azerbaijan,8
Antarctica,8
Albania,7
Gambia,7
Dominica,7
Saint Lucia,6
Egypt,6
Grenada,6
Yemen,5
Vanuatu,4
Burundi,4
South Georgia and the South Sandwich Islands,4
Guinea,4
Saint-Barthélemy,4
Saint Helena,4
Saint Vincent and Grenadines,4
Sao Tome and Principe,3
Sierra Leone,3
Botswana,3
Andorra,3
Chad,3
Aruba,3
Bangladesh,3
Kiribati,3
Iraq,3
Cape Verde,3
Korea (North),3
Maldives,2
Comoros,2
Eritrea,2
Gibraltar,2
Cyprus,2
Liechtenstein,2
Guadeloupe,1
Tokelau,1
Timor-Leste,1
Faroe Islands,1
Netherlands Antilles,1
Samoa,1
Lesotho,1
Isle of Man,1
Bosnia and Herzegovina,1
Swaziland,1
Niger,1
